ST_ABBR,FIPS,LOCATION,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01059,"Franklin County, Alabama",0.8517,0.4742,0.1445,0.9204,0.7269,3.1177,0.704,0.2712,0.8456,0.2712,0.7161,0.9402,3.0443,0.8463,0.606,0.606,0.606,0.4828,0.6534,0.7553,0.5223,0.0799,2.4937,0.4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01061,"Geneva County, Alabama",0.8635,0.2543,0.2651,0.8345,0.7269,2.9443,0.6458,0.6346,0.4806,0.9605,0.4316,0.3708,2.8781,0.7651,0.4949,0.4949,0.4949,0.0579,0.8857,0.2759,0.6719,0.126,2.0174,0.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01063,"Greene County, Alabama",0.9943,0.9863,0.7342,0.8654,0.9067,4.4869,0.9885,0.7826,0.4077,0.8848,0.325,0.0859,2.486,0.5191,0.985,0.985,0.985,0.5264,0.9854,0.5344,0.987,0.2686,3.3018,0.8908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01065,"Hale County, Alabama",0.9278,0.9322,0.8202,0.8714,0.4822,4.0338,0.9472,0.5407,0.6489,0.9605,0.5344,0.2416,2.9261,0.7893,0.9335,0.9335,0.9335,0.1808,0.9908,0.8402,0.8536,0.2686,3.134,0.8269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01067,"Henry County, Alabama",0.6088,0.6143,0.2877,0.8778,0.4398,2.8284,0.6047,0.7941,0.3186,0.7384,0.325,0.1604,2.3365,0.4074,0.6916,0.6916,0.6916,0.1983,0.8985,0.0875,0.7922,0.478,2.4545,0.4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01069,"Houston County, Alabama",0.7069,0.6279,0.6929,0.6194,0.7088,3.3559,0.7817,0.373,0.6359,0.5582,0.8211,0.3116,2.6998,0.6585,0.7276,0.7276,0.7276,0.6585,0.5754,0.3183,0.5942,0.1569,2.3033,0.3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01071,"Jackson County, Alabama",0.7782,0.5586,0.3558,0.774,0.6254,3.092,0.6945,0.6111,0.3428,0.824,0.4714,0.3708,2.6201,0.6095,0.3488,0.3488,0.3488,0.2565,0.8262,0.6744,0.1986,0.2298,2.1855,0.3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01073,"Jefferson County, Alabama",0.556,0.7419,0.8612,0.3647,0.5388,3.0626,0.6862,0.219,0.5974,0.485,0.8415,0.6104,2.7533,0.6903,0.8787,0.8787,0.8787,0.9335,0.1187,0.3183,0.7836,0.5805,2.7346,0.6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01075,"Lamar County, Alabama",0.6496,0.5385,0.1445,0.7957,0.2276,2.3559,0.4484,0.7422,0.4806,0.9453,0.4516,0.0859,2.7056,0.663,0.4319,0.4319,0.4319,0.5159,0.8024,0.5032,0.6085,0.3157,2.7457,0.6321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01077,"Lauderdale County, Alabama",0.5452,0.4561,0.542,0.5191,0.5388,2.6012,0.5306,0.6111,0.2164,0.3959,0.4914,0.4297,2.1445,0.2909,0.4777,0.4777,0.4777,0.7855,0.4067,0.168,0.6556,0.5627,2.5785,0.5439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
